property_uid,source,source_listing_id,url,colonia,alcaldia,price_mxn,area_m2,bedrooms,bathrooms,parking,floor,has_elevator,year_built,lat,lon,is_new_development,is_recovery,recovery_flags,first_seen,last_seen,price_per_m2,gross_yield,gross_yield_lo,gross_yield_hi,cap_rate,grm,discount_vs_colonia,rent_hat,rent_source,suspicious_cheap
340476ae3607990a,vivanuncios,150473568,https://www.vivanuncios.com.mx/a-venta-departamento/jesus-del-monte/venta-departamento-parque-interlomas-jesus-del-monte-huixquilucan/150473568?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=4,Jesús del Monte,Huixquilucan,4490000,79,1,1,2,,True,,19.3698892,-99.2945587,False,False,,2026-07-20,2026-07-20,56835.44,0.1058,0.0477,0.2347,0.0824,9.45,0.0,39574.93,hedonic,False
3573f6ea185afae2,vivanuncios,149849618,https://www.vivanuncios.com.mx/d-desarrollo-evicka/149849618?n_src=Listado&n_pg=1&n_pos=5,Zona Valle Poniente,San Pedro Garza García,5500000,184,3,0.0,0,,,,,,False,False,,2026-07-20,2026-07-20,29891.3,0.1341,0.0604,0.2976,0.1096,7.46,0.0,61467.57,hedonic,False
ac8ff80d5bbda641,vivanuncios,150317744,https://www.vivanuncios.com.mx/a-venta-departamento/lomas-de-santa-fe/venta-departamento-con-balcon-prolongacion-paseo-de-la-reforma-alcaldia-alvaro-obregon/150317744?n_src=Listado&n_pills=Escuelas+cercanas&n_pg=1&n_pos=15,Lomas de Santa Fe,Alvaro Obregón,3832500,69,1,1,1,,,,19.3868693,-99.2435649,False,False,,2026-07-20,2026-07-20,55543.48,0.1145,0.0516,0.2541,0.0896,8.73,0.0,36578.14,hedonic,False
2999a1c373177c45,vivanuncios,149148337,https://www.vivanuncios.com.mx/a-venta-departamento/tlalcoligia/departamento-en-venta-en-tlalcoligia/149148337?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=16,Tlalcoligia,Tlalpan,2900000,90,3,1,1,,,,19.2781964,-99.1701167,False,False,,2026-07-20,2026-07-20,32222.22,0.1678,0.0756,0.3723,0.1368,5.96,0.0,40545.77,hedonic,False
7cb0d090a11603f3,vivanuncios,150363945,https://www.vivanuncios.com.mx/a-venta-departamento/mixcoac/departamento-en-venta-en-la-colonia-mixcoac/150363945?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=17,,Cuauhtémoc,4965300,85,2,2,1,,True,,,,False,False,,2026-07-20,2026-07-20,58415.29,0.0977,0.044,0.2169,0.0755,10.23,0.0064,40440.68,hedonic,False
61385aa05a1c0f36,vivanuncios,149605443,https://www.vivanuncios.com.mx/a-venta-departamento/roma-sur/departamento-en-venta-en-la-roma/149605443?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=19,Roma Sur,Cuauhtémoc,5400000,88,1,1,0,,,,19.4037015,-99.1647831,False,False,,2026-07-20,2026-07-20,61363.64,0.1385,0.0624,0.3073,0.1135,7.22,-0.1518,62320.42,hedonic,False
fd87b66698455b16,vivanuncios,149320609,https://www.vivanuncios.com.mx/a-venta-departamento/playa-del-carmen/estudio-en-venta-en-el-corazon-de-playa-del-carmen-a-pasos-del-mar-caribe/149320609?n_src=Listado&n_pills=Alberca&n_pg=1&n_pos=22,Playa del Carmen,Solidaridad,3250000,43,0,1,15,,,,,,False,False,,2026-07-20,2026-07-20,75581.4,0.1,0.045,0.2218,0.0751,10.0,0.0,27071.89,hedonic,False
67fe75ba12396637,vivanuncios,150542781,https://www.vivanuncios.com.mx/a-venta-departamento/merida-centro/departamentos-en-casona-en-el-centro-de-merida/150542781?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=24,,Cuauhtémoc,6000000,55,1,1,0,,,,,,False,False,,2026-07-20,2026-07-20,109090.91,0.0641,0.0289,0.1423,0.0453,15.6,0.8795,32056.77,hedonic,False
b3e3ff8ca2779172,vivanuncios,145607201,https://www.vivanuncios.com.mx/a-venta-departamento/mexquitic-de-carmona/con-elevador-en-fuerteventura/145607201?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=26,,Cuauhtémoc,1489000,63,1,1,0,,True,,,,True,False,,2026-07-20,2026-07-20,23634.92,0.2796,0.126,0.6204,0.2324,3.58,-0.5928,34692.42,hedonic,True
7f007d73bd11c0a7,mudafy,14263914,https://mudafy.com.mx/propiedades/avenida-insurgentes-centro-0-departamento-en-venta-203313,,Cuauhtémoc,3190000,37.0,1,1.0,0,,,,19.4385591,-99.1559855,False,False,,2026-07-20,2026-07-20,86216.22,0.0958,0.0432,0.2125,0.0711,10.44,0.4854,25453.77,hedonic,False
